未知の有機化合物Aはフェーリング反応・トレンス反応ともに陽性を示した。Aに含まれる官能基として最も適切なのはどれか。,ケトン基,アルデヒド基,エステル結合,アミド結合,2,フェーリング反応・トレンス反応はいずれも還元性をもつアルデヒドに特有である。
有機化合物Bは穏やかな酸化でカルボン酸になる。Bの分類として最も適切なのはどれか。,一次アルコール,二次アルコール,三次アルコール,フェノール,1,一次アルコールは穏やかな酸化でアルデヒドを経てカルボン酸になる。
有機化合物Cは酸化反応を受けない。Cの分類として最も適切なのはどれか。,一次アルコール,二次アルコール,三次アルコール,アルデヒド,3,三次アルコールは炭素に水素が結合していないため酸化されにくい。
有機化合物Dは還元されてアルコールになる。Dに含まれる官能基として最も適切なのはどれか。,カルボキシ基,アミノ基,カルボニル基,エーテル結合,3,アルデヒド基やケトン基をまとめた名称がカルボニル基であり還元によりアルコールになる。
未知物質Eはフェーリング反応に陽性を示した。Eの官能基として最も適切なのはどれか。,アルデヒド基,ケトン基,エステル結合,アミノ基,1,フェーリング反応に陽性を示すのはアルデヒド基をもつ化合物である。
未知物質Fはカルボニル基をもつがフェーリング反応に陰性である。Fの官能基として最も適切なのはどれか。,アルデヒド基,ケトン基,フェノール性ヒドロキシ基,カルボキシ基,2,ケトンはカルボニル基をもつが還元性がないためフェーリング反応に陰性である。
有機化合物Gは塩化鉄(III)水溶液で紫色を示した。Gの官能基として最も適切なのはどれか。,アルコール性ヒドロキシ基,フェノール性ヒドロキシ基,カルボキシ基,アミノ基,2,フェノールは塩化鉄(III)水溶液と反応して紫色を示す。
有機化合物Hはナトリウムと反応して水素を発生するが塩化鉄(III)水溶液では呈色しない。Hの分類として最も適切なのはどれか。,フェノール,アルコール,カルボン酸,アミン,2,アルコールはナトリウムと反応するが塩化鉄(III)水溶液では呈色しない。
有機化合物Iは炭酸水素ナトリウム水溶液と反応して二酸化炭素を発生した。Iの官能基として最も適切なのはどれか。,アミノ基,カルボキシ基,エステル結合,アルデヒド基,2,カルボン酸は炭酸水素ナトリウムと反応して二酸化炭素を発生する。
有機化合物Jは酸と反応して塩をつくり水に溶けやすくなった。Jの官能基として最も適切なのはどれか。,アミノ基,カルボキシ基,ヒドロキシ基,カルボニル基,1,アミンは塩基性を示し酸と反応して塩をつくる。
有機化合物Kは加水分解によりカルボン酸とアルコールを生じた。Kの官能基として最も適切なのはどれか。,エステル結合,アミド結合,エーテル結合,ペプチド結合,1,エステルは加水分解によりカルボン酸とアルコールを生じる。
有機化合物Lは加水分解によりカルボン酸とアンモニアまたはアミンを生じた。Lの官能基として最も適切なのはどれか。,エステル結合,アミド結合,ケトン基,アルデヒド基,2,アミドは加水分解によりカルボン酸とアンモニアまたはアミンを生じる。
有機化合物Mはフェーリング反応が陽性でナトリウムと反応して水素を発生した。Mに含まれる官能基の組み合わせとして最も適切なのはどれか。,アルデヒド基とヒドロキシ基,ケトン基とカルボキシ基,アミノ基とカルボキシ基,エステル結合とヒドロキシ基,1,フェーリング反応陽性はアルデヒド基ナトリウムと反応するのはヒドロキシ基である。
有機化合物Nは酸性も塩基性も示した。Nの分類として最も適切なのはどれか。,アミン,カルボン酸,アミノ酸,エステル,3,アミノ酸はアミノ基とカルボキシ基を併せもち両性を示す。
ある糖Xはフェーリング反応に陽性を示した。Xの分類として最も適切なのはどれか。,還元糖,非還元糖,多糖,エステル,1,フェーリング反応に陽性を示す糖は還元糖である。
ある糖Yはフェーリング反応に陰性を示した。Yの分類として最も適切なのはどれか。,還元糖,非還元糖,単糖,アルデヒド,2,非還元糖はフェーリング反応に陰性を示す。
有機化合物Oはカルボニル基をもつがフェーリング反応に陰性である。Oの官能基として最も適切なのはどれか。,アルデヒド基,ケトン基,カルボキシ基,フェノール性ヒドロキシ基,2,ケトンはカルボニル基をもつが還元性をもたない。
有機化合物Pはヒドロキシ基をもつが酸性を示さない。Pの分類として最も適切なのはどれか。,フェノール,アルコール,カルボン酸,アミド,2,アルコールはヒドロキシ基をもつが一般に酸性を示さない。
